match,sentence,ref,node,keep
"dax-t-mìrtɛla,ˈ ","dax-t-mìrtɛla,ˈ róxa ʾáwra gu-d-ánna képe pɛ́ši nàšeˈ ʾu-kúlla ʾáskar qlíbela píše náše xa-ga-xèta.ˈ ","Barwar, Gozali and Nozali, Ln. 83",747864,
dmàxɛla.ˈ ,kúlla dmàxɛla.ˈ ,"Barwar, The King With Forty Sons, Ln. 4",760040,N
dmàxɛla.ˈ ,ʾánna kúlla dmàxɛla.ˈ ,"Barwar, The King With Forty Sons, Ln. 9",760238,N
dmáxɛla ,"ʾàyˈ ʾu-xolamwàθaˈ kúlla rqáða ġðáðe zmàra,ˈ mára xa-ʿăbī́d kòmaˈ dmáxɛla mə́nne díye ʾày.ˈ ","Barwar, A Tale of Two Kings, Ln. 8",741132,N
dmáxɛla ,"qyámɛla zàla,ˈ zála mṭàyɛla,ˈ yóma gnàyɛle,ˈ dmáxɛla gu-xa-màrga,ˈ dawàrela,ˈ məndiyànela,ˈ ʾu-ʾíθə ʾɛ́nət mìya táma.ˈ ","Barwar, The King With Forty Sons, Ln. 4",760022,N
"dmìxtɛla,ˈ ","ʾáy dmìxtɛla,ˈ ʾáw mšùdrɛle,ˈ ʾə́θyɛle xa-mən-zaràye.ˈ ","Barwar, A Tale of a Prince and a Princess, Ln. 31",742291,
dmìxɛle ,"yála zòra,ˈ məskéna dmìxɛle táma.ˈ ","Barwar, Tales From the 1001 Nights, Ln. 27",751211,
dmìxɛle ,"brōn-d-o-náša dmìxɛle támma,ˈ ʾaqə́rwa ṣléla m-xā́ṣ-t pə̀qqe,ˈ θéla wírra xo-réšə d-o-yàla.ˈ ","Barwar, The Scorpion and the Snake, Ln. 2",767159,
dmìxɛle ,"mára xa-bèna,ˈ dmìxɛle ʾáw.ˈ ","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 40",775747,
"dmìxɛle,ˈ ","dmìxɛle,ˈ xá-ga xéta ṛìšɛleˈ mə́re har-ṱ-àzenaˈ xázəx ʾɛ́ka màṭən.ˈ ","Barwar, Tales From the 1001 Nights, Ln. 28",751213,
"dmìxɛle,ˈ ","dmìxɛle,ˈ qáyəm qèdamtaˈ ʾína xɛpùθaˈ ryáma mən-ʾằra.ˈ ","Barwar, The Tale of Farxo and Səttiya, Ln. 43",769071,
"dmìxɛle,ˈ ","dmìxɛle,ˈ wítɛla b-lɛ̀leˈ xúwwe θèle.ˈ ","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 40",775749,
dmìxɛle.ˈ ,"zíle xa-dùkθa,ˈ málka dmìxɛle.ˈ ","Barwar, Dəmdəma, Ln. 4",744116,
dmìxɛle.ˈ ,dmìxɛle.ˈ ,"Barwar, The Crafty Hireling, Ln. 25",755844,
dmìxɛle.ˈ ,də́ryəlla xa-šwìθaˈ dmìxɛle.ˈ ,"Barwar, The King With Forty Sons, Ln. 53",761794,
dmìxɛle.ˈ ,"ʾu-zìlɛle,ˈ múttəlle réše dìyeˈ dmìxɛle.ˈ ","Barwar, The Tale of Farxo and Səttiya, Ln. 43",769070,
dmìxɛle.ˈ ,"mára qìmɛle,ˈ xóna díya dmìxɛle.ˈ ","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 25",775200,
dmìxɛle.ˈ ,"də́ryəlle šwíθa gu-xà-manzəl,ˈ dmìxɛle.ˈ ","Barwar, The Tale of Rustam (2), Ln. 49",778750,
dmìxɛleˈ ,dmìxɛleˈ hátxɛle ʾítwale xákma šəwyáθa sằfări ṱ-amrə́xla.ˈ ,"Barwar, Gozali and Nozali, Ln. 51",746600,
dmìxɛleˈ ,"tmánya yóme dmìxɛleˈ ʾu-prìqɛle,ˈ ṛìšɛle.ˈ ","Barwar, The Battle With Yuwanəs the Armenian, Ln. 12",753712,
dmìxɛleˈ ,"zìlɛle,ˈ dmìxɛleˈ xále díye lè-y-yăðe.ˈ ","Barwar, The Tale of Farxo and Səttiya, Ln. 67",769681,
dmíxtɛla ,dmíxɛle Dáwið k̭óra làxxaˈ ʾu-báxta dmíxtɛla làxxaˈ ʾu-ʾo-rábbən dmíxɛle làxxa.ˈ ,"Barwar, The Monk Who Wanted to Know When He Would Die, Ln. 9",764744,
dmíxɛle ,dmíxɛle xánči táma hal-mbàdla.ˈ ,"Barwar, Gozali and Nozali, Ln. 51",746607,
dmíxɛle ,dmíxɛle bárqūl d-ay-kàwe.ˈ ,"Barwar, I Am Worth the Same as a Blind Wolf, Ln. 4",748607,
dmíxɛle ,dmíxɛle xá-bena ṛàyəšˈ ʾina mò ṛáyəš!ˈ ,"Barwar, Tales From the 1001 Nights, Ln. 30",751291,
dmíxɛle ,"wírɛle zìlaˈ dmíxɛle kəs-báxtət ʿAbda-Raḥmā̀n-bēk,ˈ kəs-baxt-xàle.ˈ ","Barwar, The Man Who Wanted to Work, Ln. 26",764087,
dmíxɛle ,dmíxɛle Dáwið k̭óra làxxaˈ ʾu-báxta dmíxtɛla làxxaˈ ʾu-ʾo-rábbən dmíxɛle làxxa.ˈ ,"Barwar, The Monk Who Wanted to Know When He Would Die, Ln. 9",764739,
dmíxɛle ,dmíxɛle Dáwið k̭óra làxxaˈ ʾu-báxta dmíxtɛla làxxaˈ ʾu-ʾo-rábbən dmíxɛle làxxa.ˈ ,"Barwar, The Monk Who Wanted to Know When He Would Die, Ln. 9",764747,
dmíxɛle ,dmíxɛle gu-ʾalólət màθa.ˈ ,"Barwar, The Tale of Farxo and Səttiya, Ln. 37",768890,
dmíxɛle ,"tíwɛle tàma,ˈ ʾo-lɛ́le dmíxɛle Rustằmoˈ kəs-d-àni,ˈ ʾárxa diyèyile.ˈ ","Barwar, The Tale of Rustam (2), Ln. 49",778742,
dráyɛla ,"xákma dráyɛla b-sə̀kθa,ˈ dráyɛla xɛ̀la,ˈ w-áxxa-w tàmmaˈ di-di-di-dì,ˈ báre brónət Rùstam.ˈ ","Barwar, The Tale of Rustam (1), Ln. 30",777310,N
dráyɛla ,"xákma dráyɛla b-sə̀kθa,ˈ dráyɛla xɛ̀la,ˈ w-áxxa-w tàmmaˈ di-di-di-dì,ˈ báre brónət Rùstam.ˈ ","Barwar, The Tale of Rustam (1), Ln. 30",777312,N
dráyɛla ,ṭla-d-áy dráyɛla xàččaˈ ṭla-d-áw ràba.ˈ ,"Barwar, The Wise Young Man, Ln. 25",781087,N
dráyɛle ,dráyɛle biš-hódəx mə́nna díya xáčča xàmra.ˈ ,"Barwar, The King With Forty Sons, Ln. 49",761664,N
dríθɛla ,"θíθɛla kə́sle dìye,ˈ dríθɛla šlàma.ˈ ","Barwar, A Tale of a Prince and a Princess, Ln. 14",741818,
dríθɛla ,dríθɛla šláma ʾə́lle dìyeˈ mə́ra ʾa-málla dàx-it?ˈ ,"Barwar, The Sale of an Ox, Ln. 12",766112,
dríθɛla ,"zìltɛla,ˈ dríθɛla ʾíða díya ʾal-rùše díye,ˈ ʾáxxa-w tàmma.ˈ ","Barwar, The Sale of an Ox, Ln. 18",766289,
dwíqɛle ,dwíqɛle ʾə́lle dìye.ˈ ,"Barwar, The Tale of Mərza Pămət, Ln. 3",773069,
dwíqɛle ,dwíqɛle qa-ʾàryaˈ ʾu-mùθyəlle.ˈ ,"Barwar, The Tale of Mərza Pămət, Ln. 3",773073,
dànɛla.ˈ ,badláθa jàldeˈ heš-xúya xùyaˈ mə́re bàxtaˈ dànɛla.ˈ ,"Barwar, The Crafty Hireling, Ln. 53",756521,N
dàwɛla.ˈ ,ʾámər dàwɛla.ˈ ,"Barwar, A Man Called Čuxo, Ln. 13",740533,N
dàwɛle.ˈ ,xá-kilo ʾə́xre b-ṭḷáθa dàwɛle.ˈ ,"Barwar, A Man Called Čuxo, Ln. 14",740554,N
dánɛla ,"ʾu-mə́re bàssi m-xáye,ˈ dánɛla qarə́nna qálət ṭḷàθaˈ ʾu-y-ắðe maṣī́r díye modìle.ˈ ","Barwar, Gozali and Nozali, Ln. 59",746907,N
dánɛla ,dánɛla jàwjexi.ˈ ,"Barwar, The Crafty Hireling, Ln. 44",756299,N
dánɛla?ˈ ,ʾawwa ʾaskaríya dìyeˈ ṭlà-kəma dánɛla?ˈ ,"Barwar, The Wise Young Man, Ln. 22",781004,N
dìyɛla.ˈ ,har-dmíxtɛla bəd-lə́bba gu-bɛ́θət bába dìyɛla.ˈ ,"Barwar, The Daughter of the King, Ln. 18",757180,N
dìṛtɛla ,dìṛtɛla ʾáy.ˈ ,"Barwar, The Tale of Parizada, Warda and Nargis, Ln. 50",776183,
dìṛɛle ,"dìṛɛle Bangína,ˈ xuláme dìye,ˈ dìṛɛle,ˈ zíla l-ʾótəx dìye.ˈ ","Barwar, The Tale of Mămo and Zine, Ln. 7",770556,
dìṛɛle ,"ʾu-qìmɛle,ˈ dìṛɛle Wɛ́rdaˈ zíla l-qàṣre.ˈ ","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 56",776455,
"dìṛɛle,ˈ ","dìṛɛle,ˈ ʾay-káza xyàra,ˈ mára kʸɛ̀le brónux?ˈ ","Barwar, A Tale of a Prince and a Princess, Ln. 36",742462,
"dìṛɛle,ˈ ","ʾə̀θyɛle yála,ˈ dìṛɛle,ˈ ʾámər hà yə́mmi,ˈ ʾə́dyo ʾɛ̀nile plíxa?ˈ ","Barwar, The Daughter of the King, Ln. 21",757234,
"dìṛɛle,ˈ ","dìṛɛle Bangína,ˈ xuláme dìye,ˈ dìṛɛle,ˈ zíla l-ʾótəx dìye.ˈ ","Barwar, The Tale of Mămo and Zine, Ln. 7",770560,
"dìṛɛle,ˈ ","dìṛɛle,ˈ mə́re mòdila qə́ṣṣət?ˈ ","Barwar, The Tale of Mămo and Zine, Ln. 38",771382,
"dìṛɛle,ˈ ","qìmɛle,ˈ dìṛɛle,ˈ zílɛle ʾo-xóne díye t-pàləxˈ ṛìya,ˈ šăvàna.ˈ ","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 22",775071,
dìṛɛle.ˈ ,qímɛle píšɛle màjburˈ Mắmo dìṛɛle.ˈ ,"Barwar, The Tale of Mămo and Zine, Ln. 38",771381,
dìṛɛle.ˈ ,"qímtɛla mxíθɛla ṭḷá-qɛse xène,ˈ ʾáp-ʾaw dìṛɛle.ˈ ","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 53",776335,
díṛtɛla ,díṛtɛla píštɛla hàdəx.ˈ ,"Barwar, The Tale of Parizada, Warda and Nargis, Ln. 53",776305,
díṛɛle ,díṛɛle kəs-bábe dìye.ˈ ,"Barwar, A Tale of a Prince and a Princess, Ln. 7",741611,
díṛɛle ,qímɛle díṛɛle zìla.ˈ,"Barwar, The King With Forty Sons, Ln. 45",761539,
díṛɛle ,"díṛɛle l-bɛ̀θa,ˈ Parizáda mə̀raˈ qəm-mɛθə́tla qəṣṣə̀tta?ˈ ","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 57",776473,
"dònɛla,ˈ ","ʾáy kúlla dònɛla,ˈ dòna,ˈ mə̀šxa.ˈ ","Barwar, The Leliθa From č̭āl, Ln. 4",762570,N
"dùkθɛla,ˈ ","ga-lɛ́ðəx ʾɛkɛ̀la,ˈ b-ɛ́ni dùkθɛla,ˈ ʾɛ́nila ʾùrxa.ˈ ","Barwar, The Tale of Mămo and Zine, Ln. 18",770848,N
də̀bbɛla ,ʾáni xšíwela də̀bbɛla táma.ˈ ,"Barwar, The Bear and the Fox, Ln. 7",754239,N
də̀mmɛla.ˈ ,"mə́re yằðət,ˈ ʾo-gawáyə šqilíle zùzeˈ ʾáni zúzət bábe dìye,ˈ də̀mmɛla.ˈ ","Barwar, The Monk and the Angel, Ln. 16",765321,N
də̀ryɛleˈ ,də̀ryɛleˈ xìlɛle.ˈ ,"Barwar, Tales From the 1001 Nights, Ln. 29",751266,
də́ryɛla ,də́ryɛla xáčča mən-d-a-purta b-rèšeˈ purtət ʾə̀rbe.ˈ ,"Barwar, Tales From the 1001 Nights, Ln. 20",750946,
də́ryɛle ,"síqa l-gàre,ˈ də́ryɛle ʾə́č̣č̣i-u ʾə́č̣č̣a dáwe gu-ða-kìsta,ˈ də́rya b-kàwele.ˈ ","Barwar, A Hundred Gold Coins, Ln. 2",739819,
də́ryɛle ,də́ryɛle xéra b-gáne dìye-uˈ híwəlle bála l-gə́ppa d-o-ḷáya ʾu-qə̀ryɛle:ˈ ʾó Bə́lbəl Hazàr!ˈ ,"Barwar, Gozali and Nozali, Ln. 57",746832,
də́ryɛle ,qímɛle də́ryɛle ʾan-băṭaníye xoθa-díya t-wewa-dmíxa Gozáli rèša.ˈ ,"Barwar, Gozali and Nozali, Ln. 69",747293,
də́ryɛle ,də́ryɛle šwíθe díye tàma.ˈ ,"Barwar, I Am Worth the Same as a Blind Wolf, Ln. 4",748610,
də́ryɛle ,də́ryɛle mɛxólta xìlɛle.ˈ ,"Barwar, Tales From the 1001 Nights, Ln. 60",752223,
də́ryɛle ,"qìmɛleˈ muqábəl bɛ́θe dìyeˈ xákma qɛ̀se,ˈ məndiyàne,ˈ də́ryɛle táma nùra bíya.ˈ ","Barwar, The Man Who Cried Wolf, Ln. 2",763236,
də́ryɛle ,"ʾə́θyɛle də́ryɛle šláma ʾəllɛ̀xu,ˈ baʿdḕnˈ ʾàp-xa lɛ́le mqúbləlle šláme.ˈ ","Barwar, The Tale of Farxo and Səttiya, Ln. 49",769241,
də́ryɛle ,də́ryɛle šláma llɛ̀xu.ˈ ,"Barwar, The Tale of Mămo and Zine, Ln. 23",770985,
də́ryɛle ,də́ryɛle šláma ʾə́lla dìya.ˈ ,"Barwar, The Tale of Mămo and Zine, Ln. 41",771499,
də́ryɛle ,"ʾàwˈ də́ryɛle xɛ̀la,ˈ síṛɛwa zənjíre b-rušàne.ˈ ","Barwar, The Tale of Mămo and Zine, Ln. 81",772719,
də́ryɛle ,də́ryɛle xɛ̀laˈ ta-t-šarə̀ṭla gáne.ˈ ,"Barwar, The Tale of Mămo and Zine, Ln. 81",772724,
də́ryɛle ,"də́ryɛle šlàma ʾə́lle díye,ˈ mə́re šlàma-lluxˈ sáwi šópət bàbi.ˈ ","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 8",774683,
də́ryɛle ,"ṣə̀lyɛle,ˈ də́ryɛle šlàma.ˈ ","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 50",776190,
də́ryɛle ,"də́ryɛle šlàma-ʾəlle,ˈ wíra tíwa gu-dìwənˈ ʾu-ʾə́θyela guṛàneˈ d-o-náša-w ferə́sse dìyeˈ kúlla tíwe gu-dìwən-ila.ˈ ","Barwar, The Tale of Rustam (2), Ln. 44",778605,
"farqùθɛla,ˈ ","mút farqùθɛla,ˈ gu-d-áyya dɛ́rta ʾaw-gu-d-ăyàha?ˈ ","Barwar, The Monk and the Angel, Ln. 12",765160,N
"ferə̀ssɛle,ˈ ","mə́re ʾáwwa ferə̀ssɛle,ˈ ʾáwwa lá-mṣən bíye dìye.ˈ ","Barwar, The Tale of Rustam (2), Ln. 49",778722,N
ferə̀ssɛle.ˈ ,Rustắmo ferə̀ssɛle.ˈ ,"Barwar, The Tale of Rustam (2), Ln. 60",778999,N
ferə̀ssɛle.ˈ ,ferə̀ssɛle.ˈ ,"Barwar, The Tale of Rustam (2), Ln. 64",779079,N
ferə̀ssɛleˈ ,ʾáwwa náša ʾən-ṛìšleˈ ʾáwwa ferə̀ssɛleˈ ʾati-qaṭə̀llux.ˈ ,"Barwar, The Tale of Rustam (2), Ln. 27",778213,N
ferə́ssɛle.ˈ ,"ʾáwwa màṭo xóðe díye mə́ṣya šqílle ʾɛ-bráta mən-d-áw,ˈ lázəm ʾawwa-ràba ferə́ssɛle.ˈ ","Barwar, The Tale of Rustam (2), Ln. 43",778601,N
fṭìrɛle ,"yaʿni fṭìrɛle yála-wˈ qìmɛleˈ zíla l-šùla,ˈ yə́mma mtugbàrtəlle,ˈ zíla l-šùla,ˈ qìmtɛla,ˈ mxulálta ʾamàneˈ ʾu-kníšta bɛ̀θaˈ ʾu-mtugbàrta.ˈ ","Barwar, The Daughter of the King, Ln. 20",757217,
fṭìrɛleˈ ,"fṭìrɛleˈ ʾu-mə́ndi xéna kúlla muttɛ́θəlle gu-čánte dìye,ˈ kú-məndi ṱ-ìθwala,ˈ lə̀xma,ˈ ʾən-màsta,ˈ ʾən-kú-məndi ʾìθwaleyˈ ʾu-šqíla tàwreˈ zíla zràya.ˈ ","Barwar, The Daughter of the King, Ln. 14",757054,
fṭìrɛleˈ ,yála-žigən qímɛle fṭìrɛleˈ mxúlləlla páθe dìye-wˈ ʾu-zílɛle šúle dìye.ˈ ,"Barwar, The Daughter of the King, Ln. 16",757119,
fṭìrɛleˈ ,wíyɛle yómət ṭḷàθaˈ ʾáwwa fṭìrɛleˈ ʾu-plìṭɛle.ˈ ,"Barwar, The Sale of an Ox, Ln. 24",766438,
"gabbàrɛle,ˈ ","yăðéwa xa-náša gabbàrɛle,ˈ ferə̀ssa,ˈ lá-mṣe bíye dìye.ˈ ","Barwar, The Tale of Rustam (2), Ln. 32",778334,N
genàwɛle ,"genàwɛle ʾáw,ˈ qaṭòlɛle.ˈ ","Barwar, The Man Who Wanted to Work, Ln. 27",764116,N
"gnàyɛle,ˈ ","qyámɛla zàla,ˈ zála mṭàyɛla,ˈ yóma gnàyɛle,ˈ dmáxɛla gu-xa-màrga,ˈ dawàrela,ˈ məndiyànela,ˈ ʾu-ʾíθə ʾɛ́nət mìya táma.ˈ ","Barwar, The King With Forty Sons, Ln. 4",760021,N
gu-d-a-màθɛle.ˈ,zíla níxa níxa wíra gu-d-a-màθɛle.ˈ,"Barwar, Tales From the 1001 Nights, Ln. 58",752174,N
"gu-gòmɛla,ˈ ","qàṭe,ˈ šárrət qáṭe gu-gòmɛla,ˈ parpàṭṭɛla.ˈ ","Barwar, The Crafty Hireling, Ln. 25",755858,N
gu-šàbθɛla.ˈ ,wírɛle mə́re gu-šàbθɛla.ˈ ,"Barwar, Tales From the 1001 Nights, Ln. 59",752200,N
"gwìrtɛla,ˈ ","bratɛ́y gwìrtɛla,ˈ xa-bɛ́θa xèna.ˈ ","Barwar, The Crafty Hireling, Ln. 29",755942,N
gxàkɛla ,"háyyo ṱ-amrànnux,ˈ gxàkɛla mə́nne díye,ˈ ʾáwwa θéle kèfe.ˈ ","Barwar, The Sale of an Ox, Ln. 18",766298,N
gòmɛla ,"gòmɛla ṱ-ámrəx,ˈ xùya.ˈ ","Barwar, The Sale of an Ox, Ln. 10",766074,N
"gòṛtɛla,ˈ ","máθa gòṛtɛla,ˈ mðíta gòṛtɛla,ˈ málkɛle gáwa dìya.ˈ ","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 36",775614,N
"gòṛtɛla,ˈ ","máθa gòṛtɛla,ˈ mðíta gòṛtɛla,ˈ málkɛle gáwa dìya.ˈ ","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 36",775616,N
gòṛtɛla.ˈ ,"muʿàlləm,ˈ dəkkána gòṛtɛla.ˈ ","Barwar, The Sale of an Ox, Ln. 18",766282,N
gòṛtɛleˈ ,w-àtiˈ qa-dìyuxˈ xa-ġaləbúθa gòṛtɛleˈ ʾən-bróni tàrəṣ.ˈ ,"Barwar, Gozali and Nozali, Ln. 36",746005,N
gòṛɛle.ˈ ,xéna ʾaláha gòṛɛle.ˈ ,"Barwar, Gozali and Nozali, Ln. 83",747855,N
